Time,Volts,Current
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
0.000e+00,-9.999e-01,-3.044e-03
4.292e-03,-9.999e-01,-3.046e-03
7.276e-03,-9.999e-01,-3.046e-03
1.027e-02,-9.999e-01,-3.046e-03
1.327e-02,-9.999e-01,-3.046e-03
1.629e-02,-9.999e-01,-3.046e-03
2.039e-02,-9.000e-01,-2.739e-03
2.338e-02,-8.000e-01,-2.435e-03
2.641e-02,-7.000e-01,-2.132e-03
2.940e-02,-6.000e-01,-1.828e-03
3.241e-02,-4.999e-01,-1.521e-03
3.540e-02,-3.999e-01,-1.219e-03
3.841e-02,-2.999e-01,-9.133e-04
4.138e-02,-2.000e-01,-6.077e-04
4.438e-02,-9.998e-02,-3.028e-04
4.741e-02,2.813e-05,-6.407e-07
5.072e-02,1.001e-01,3.036e-04
5.340e-02,2.001e-01,6.113e-04
5.640e-02,3.001e-01,9.127e-04
5.942e-02,4.000e-01,1.217e-03
6.239e-02,5.000e-01,1.523e-03
6.540e-02,6.000e-01,1.827e-03
6.841e-02,7.000e-01,2.132e-03
7.138e-02,8.001e-01,2.438e-03
7.439e-02,9.001e-01,2.741e-03
